gene_name,TCGA-UCEC(Asian)(20)
COL4A5,0.15
OR8B3,0.15
DRD1,0.15
OR8B8,0.15
OR8B12,0.15
ROBO3,0.15
ROBO4,0.15
GLB1L2,0.15
AMOT,0.15
IL13RA2,0.15
SLC26A2,0.15
AKAP3,0.15
PCYOX1L,0.15
GALNT8,0.15
ABLIM3,0.15
HTR4,0.15
FBXO38,0.15
SPINK7,0.15
SPINK13,0.15
SLC6A14,0.15
KCNA1,0.15
SPINK5,0.15
KCNA5,0.15
STK32A,0.15
PPP2R2B,0.15
TAPBPL,0.15
DYRK4,0.15
FGF6,0.15
LRCH2,0.15
CSF1R,0.15
KDM5A,0.15
FAM114A2,0.15
GLRA1,0.15
WNK1,0.15
FBXL14,0.15
CACNA2D4,0.15
TCP10L,0.15
TNIP1,0.15
FKBP4,0.15
ZNF300P1,0.15
NRIP2,0.15
TSPAN9,0.15
URB1,0.15
PARP11,0.15
CCND2,0.15
FAM86C1,0.15
C2CD2,0.15
TIAL1,0.15
WEE1,0.15
TRMT11,0.15
LMO1,0.15
NKAIN2,0.15
TBC1D32,0.15
FAM184A,0.15
FAM155B,0.15
ZNF143,0.15
SWAP70,0.15
TSPYL4,0.15
DCBLD1,0.15
RFX6,0.15
GPRC6A,0.15
MRVI1,0.15
RSPH4A,0.15
FAM26E,0.15
CSNK2A3,0.15
STARD8,0.15
RSPO3,0.15
CYB5R2,0.15
SOGA3,0.15
OR2D2,0.15
STX7,0.15
MOXD1,0.15
AR,0.15
ENPP1,0.15
CTAGE9,0.15
ZNF214,0.15
OPHN1,0.15
SAMD3,0.15
RBMXL2,0.15
SYT9,0.15
YIPF6,0.15
ARHGAP18,0.15
PTPRK,0.15
PPFIBP2,0.15
DSE,0.15
FRK,0.15
PPFIA1,0.15
MPPED2,0.15
MUC15,0.15
LIN7C,0.15
BDNF,0.15
KIF18A,0.15
MANEA,0.15
SLC7A3,0.15
BACH2,0.15
RRAGD,0.15
MICAL2,0.15
FOXO4,0.15
GABRR2,0.15
GABRR1,0.15
RNGTT,0.15
UFD1L,0.15
ORC3,0.15
CSTF3,0.15
LUZP2,0.15
SLC6A5,0.15
LIN28B,0.15
BVES,0.15
DGAT2L6,0.15
FAR1,0.15
SPON1,0.15
TRAF3IP2,0.15
PLEKHA7,0.15
ZBTB24,0.15
CD164,0.15
SAA3P,0.15
ARMC2,0.15
P2RY4,0.15
HPS5,0.15
GTF2H1,0.15
LDHA,0.15
LDHC,0.15
SOBP,0.15
OR10A5,0.15
VNN1,0.15
EDA2R,0.15
VPREB1,0.15
TCERG1L,0.15
USP51,0.15
FAM120B,0.15
KNDC1,0.15
ERMARD,0.15
TCTE3,0.15
PHF10,0.15
RRAGB,0.15
TBPL1,0.15
KLF8,0.15
RIC8A,0.15
UNC93A,0.15
ATHL1,0.15
TCP10L2,0.15
HIC2,0.15
AP2A2,0.15
PTPRE,0.15
FAM196A,0.15
C10orf90,0.15
BCCIP,0.15
INPP5F,0.15
SEC23IP,0.15
WDR11,0.15
TNRC18,0.15
FGFR2,0.15
FGD1,0.15
GNL3L,0.15
SDK1,0.15
C10orf120,0.15
RP11-564D11.3,0.15
BRAT1,0.15
EIF3B,0.15
CHST15,0.15
TFAMP1,0.15
INTS1,0.15
AGPAT4,0.15
PNLDC1,0.15
FAAH2,0.15
ZNF74,0.15
ZC4H2,0.15
SHPRH,0.15
OR52B6,0.15
TRIM6-TRIM34,0.15
TRIM5,0.15
HECA,0.15
ECT2L,0.15
LAS1L,0.15
OR52N4,0.15
HEBP2,0.15
OR52E8,0.15
SLC35D3,0.15
OR56B4,0.15
PDE7B,0.15
SMPD1,0.15
SASH1,0.15
NUP43,0.15
WTAP,0.15
OR51G1,0.15
TAGAP,0.15
SPIN4,0.15
LSP1,0.15
LZTR1,0.15
KCNQ1,0.15
CARS,0.15
ART5,0.15
CCDC170,0.15
MTHFD1L,0.15
PLEKHG1,0.15
OR51E1,0.15
ULBP3,0.15
OR51F2,0.15
OR51A7,0.15
OR51G2,0.15
HIPK3,0.15
FBXO3,0.15
IL2RG,0.15
MARK2,0.15
SLC22A24,0.15
SLC22A10,0.15
GRM4,0.15
SLC22A9,0.15
ITPR3,0.15
PGK1,0.15
SYNGAP1,0.15
FAM207A,0.15
TSPO2,0.15
FERMT3,0.15
PLCB3,0.15
WDR46,0.15
B3GALT4,0.15
COL11A2,0.15
ZCCHC5,0.15
GPR174,0.15
SLC22A6,0.15
BSCL2,0.15
EML3,0.15
FKBP5,0.15
KIF6,0.15
PPP1R3D,0.15
KCNK17,0.15
GLP1R,0.15
MS4A1,0.15
MS4A13,0.15
PCNT,0.15
TBC1D22B,0.15
TMEM217,0.15
MS4A10,0.15
CD6,0.15
TMEM138,0.15
MAPK14,0.15
BEST1,0.15
CLPSL1,0.15
PYGM,0.15
BRD2,0.15
HLA-DMA,0.15
TRAPPC10,0.15
NPAS4,0.15
CYLC1,0.15
SLC44A4,0.15
RBM14,0.15
RRP1B,0.15
RPS6KA6,0.15
RSPH1,0.15
ZNF711,0.15
POF1B,0.15
DACH2,0.15
CPXCR1,0.15
SUV420H1,0.15
TNF,0.15
ZBTB21,0.15
HCP5,0.15
AGPAT3,0.15
PACS1,0.15
SF1,0.15
RNA5SP206,0.15
MAP4K2,0.15
TAP1,0.15
PSMB9,0.15
TBX22,0.15
TM7SF2,0.15
FAM46D,0.15
KRTAP10-7,0.15
CAPN1,0.15
POLA2,0.15
SH3BGRL,0.15
NOTCH4,0.15
PCNXL3,0.15
TSPEAR,0.15
LRRC3,0.15
TRPM2,0.15
MOCS1,0.15
PATL1,0.15
PDHX,0.15
BAG2,0.15
ZNF408,0.15
LGSN,0.15
KHDRBS2,0.15
LRP4,0.15
ARFGAP2,0.15
RPS4X,0.15
DDB2,0.15
BEND6,0.15
TREML4,0.15
HMGCLL1,0.15
GFRAL,0.15
HCRTR2,0.15
FAM83B,0.15
MADD,0.15
GCLC,0.15
SLC39A13,0.15
AMBRA1,0.15
DGKZ,0.15
PHF21A,0.15
KCNQ5,0.15
SNX14,0.15
CD44,0.15
CLTCL1,0.15
PRSS35,0.15
PRR5L,0.15
RAG2,0.15
TPBG,0.15
IBTK,0.15
ITGB1BP2,0.15
COL12A1,0.15
EEF1A1,0.15
EXT2,0.15
PRDM11,0.15
KHDC1,0.15
CRY2,0.15
PTPRJ,0.15
EFHC1,0.15
PAQR8,0.15
KLC4,0.15
CCT8L2,0.15
TMX2,0.15
OR11H1,0.15
OR9Q1,0.15
OR10W1,0.15
OR5B17,0.15
TRERF1,0.15
OR5B2,0.15
CNTF,0.15
GLYATL1,0.15
PRMT2,0.15
PGC,0.15
OR4D6,0.15
RLIM,0.15
OR4D10,0.15
CUL7,0.15
APLNR,0.15
HDAC8,0.15
OR9G4,0.15
TFAP2D,0.15
CECR2,0.15
OR4C12,0.15
OR4A5,0.15
TRIM48,0.15
PLA2G7,0.15
OR5L2,0.15
CHIC1,0.15
OR5T2,0.15
TMEM63B,0.15
OR8K3,0.15
OR5M9,0.15
OR5M3,0.15
POLH,0.15
OR5M1,0.15
MS4A4A,0.15
CTCFL,0.15
TBC1D22A,0.15
9-Sep,0.15
ZNF606,0.15
ZNF256,0.15
UBE2Q2P1,0.15
PTENP1-AS,0.15
SLC20A1,0.15
SLC44A3,0.15
MGAT5B,0.15
VWA3B,0.15
MERTK,0.15
ZNF417,0.15
MFSD11,0.15
ZNF587,0.15
CLCN3P1,0.15
AGBL1,0.15
BCAR3,0.15
PGS1,0.15
FSD2,0.15
ZNF329,0.15
DR1,0.15
AP3B2,0.15
TMED5,0.15
CPEB1,0.15
ZNF544,0.15
ZSCAN22,0.15
EVI5,0.15
TMC3,0.15
RPAP2,0.15
DDX18,0.15
EPHX4,0.15
C15orf26,0.15
MESDC2,0.15
BUB1,0.15
DPYD,0.15
PVRL2,0.15
IL18R1,0.15
UNC50,0.15
TSGA10,0.15
ZIK1,0.15
RGMA,0.15
EIF5B,0.15
ZNF211,0.15
SLCO3A1,0.15
SV2B,0.15
NPAS2,0.15
RPL31,0.15
AC068831.10,0.15
RECQL5,0.15
PRC1,0.15
FES,0.15
IL18RAP,0.15
ZNF587B,0.15
CRTC3,0.15
ZNF774,0.15
NGRN,0.15
FHL2,0.15
UBE2O,0.15
SLC5A7,0.15
ZNF776,0.15
FRRS1,0.15
SULT1C4,0.15
SH3RF3,0.15
ZNF586,0.15
PALMD,0.15
LPPR4,0.15
ST6GALNAC1,0.15
DBI,0.15
ARNT2,0.15
SCTR,0.15
SPOPL,0.15
PTPN9,0.15
MGAT5,0.15
MAN2C1,0.15
SH3GLB1,0.15
NEIL1,0.15
RAB3GAP1,0.15
ZRANB3,0.15
COMMD4,0.15
UBXN4,0.15
MCM6,0.15
DARS,0.15
ZNF112,0.15
THSD7B,0.15
HNMT,0.15
CLCA2,0.15
CSPG4,0.15
ARHGAP15,0.15
GTDC1,0.15
ORC4,0.15
DEFB129,0.15
ZNF227,0.15
KIF5C,0.15
P4HB,0.15
WDR63,0.15
LYPD6,0.15
LPAR3,0.15
SSX2IP,0.15
ZNF234,0.15
RBM43,0.15
RBCK1,0.15
SNX33,0.15
CFAP46,0.15
TGFBR3,0.15
GBP4,0.15
PTPN4,0.15
ZNF132,0.15
KIAA1024,0.15
ANKRD34C,0.15
GLI2,0.15
CARD14,0.15
MORF4L1,0.15
SLC27A5,0.15
CHRNA3,0.15
CHRNA5,0.15
PROC,0.15
IWS1,0.15
LRRC8B,0.15
LIMS2,0.15
SAP130,0.15
CFAP52,0.15
WDR61,0.15
SMPD4,0.15
RPTOR,0.15
CFAP69,0.15
LINC00482,0.15
SH2D7,0.15
NPLOC4,0.15
RCN2,0.15
ETFA,0.15
RAB29,0.15
TRIM28,0.15
FBXO22,0.15
RN7SL319P,0.15
CFAP53,0.15
SYNM,0.15
TMEM131,0.15
UBE3A,0.15
SNRPD2,0.15
DDX5,0.15
PTPN22,0.15
AP4B1,0.15
DCLRE1B,0.15
HIPK1,0.15
PTCD3,0.15
SYT6,0.15
TTC23,0.15
ERN1,0.15
USP7,0.15
DENND2C,0.15
SCN4A,0.15
CSHL1,0.15
EPS8L1,0.15
UBN1,0.15
12-Sep,0.15
ANKS3,0.15
RGPD1,0.15
MGRN1,0.15
MOV10,0.15
PTPRH,0.15
CAPZA1,0.15
ST7L,0.15
SMYD1,0.15
WNT2B,0.15
AMZ2P1,0.15
GNA13,0.15
NLRC3,0.15
KCND3,0.15
CEP112,0.15
APOH,0.15
SYCP1,0.15
FTSJ3,0.15
TXNDC11,0.15
CD101,0.15
TBX4,0.15
KIR2DL4,0.15
KIR2DL3,0.15
XYLT1,0.15
BRIP1,0.15
INTS2,0.15
WARS2,0.15
ABCC6,0.15
GDAP2,0.15
LOXL3,0.15
MAN1A2,0.15
METTL2A,0.15
TRIM45,0.15
TLK2,0.15
10-Mar,0.15
ZC3H7A,0.15
IGSF3,0.15
RRN3,0.15
TACR1,0.15
PDXDC1,0.15
MRPL19,0.15
ATP1A1,0.15
LRRTM4,0.15
REG3A,0.15
ACE,0.15
PCDHGB5,0.15
KCNH6,0.15
NLRP2,0.15
SIX5,0.15
DDX42,0.15
PRKCA,0.15
OVGP1,0.15
CACNG4,0.15
GRIN2C,0.15
CCDC78,0.15
DNAI2,0.15
USP29,0.15
ZIM3,0.15
GPSM2,0.15
ZNF460,0.15
PRPF38B,0.15
LUC7L,0.15
MRPS5,0.15
HENMT1,0.15
ZNF548,0.15
ZNF17,0.15
ZNF749,0.15
KCNIP3,0.15
CKM,0.15
IGKV1D-43,0.15
ADRA2B,0.15
NBPF4,0.15
STARD7,0.15
VAV3,0.15
NUP85,0.15
CIAO1,0.15
GGA3,0.15
MRPS7,0.15
ZNF549,0.15
CNNM4,0.15
LINS,0.15
ADAMTS17,0.15
AC090825.1,0.15
ZNF416,0.15
TTYH2,0.15
SARS,0.15
HELZ,0.15
NLRP4,0.15
PITPNC1,0.15
GPR4,0.15
CD53,0.15
KCNA3,0.15
FAM71E2,0.15
PRSS27,0.15
SLC16A4,0.15
RBM15,0.15
ABCA9,0.15
PKD1,0.15
AHCYL1,0.15
NLRP9,0.15
KCNJ16,0.15
NLRP11,0.15
KCNJ2,0.15
IGKV1D-42,0.15
NLRP5,0.15
MAPK8IP3,0.15
SOX9,0.15
ZSCAN5B,0.15
GSTM4,0.15
AMPD2,0.15
IFT140,0.15
GNAI3,0.15
COG1,0.15
BAIAP3,0.15
DDIAS,0.15
ZNF667,0.15
SORT1,0.15
MYBPHL,0.15
FMNL2,0.15
TBC1D20,0.15
ZNF224,0.15
SLMO1,0.15
LDLRAD4,0.15
PTPRN,0.15
PTPN2,0.15
TMEM62,0.15
STK16,0.15
SPIRE1,0.15
ZSCAN29,0.15
KCNJ3,0.15
AFG3L2,0.15
PTPRA,0.15
STRC,0.15
IHH,0.15
CATSPER2,0.15
TUBB6,0.15
STARD9,0.15
ASIC4,0.15
INHA,0.15
TMEM87A,0.15
PLA2G4D,0.15
MC2R,0.15
SPTBN5,0.15
CUL3,0.15
CXADRP3,0.15
RPAP1,0.15
RHBDD1,0.15
MFF,0.15
LTK,0.15
SCP2,0.15
AGFG1,0.15
DAW1,0.15
PHLDB3,0.15
CKMT1A,0.15
MFAP1,0.15
WDR76,0.15
CEP152,0.15
DAB1,0.15
USP8,0.15
GABPB1,0.15
HDC,0.15
SLC27A2,0.15
CRYGB,0.15
RAB12,0.15
C2orf80,0.15
DTWD1,0.15
FGF7,0.15
UNC80,0.15
RPE,0.15
SHC4,0.15
ERBB4,0.15
SPAG16,0.15
FRMD5,0.15
PARS2,0.15
CPXM1,0.15
GATM,0.15
CXCR2P1,0.15
CXCR2,0.15
CXCR1,0.15
NAPG,0.15
DUOX2,0.15
AAMP,0.15
VIL1,0.15
EIF3J,0.15
ZNF142,0.15
CTDSPL2,0.15
RNF25,0.15
ZYG11B,0.15
SLC16A14,0.15
ORC1,0.15
RAD54L,0.15
LPCAT4,0.15
CYP4Z2P,0.15
SLC12A6,0.15
HJURP,0.15
MSL3P1,0.15
DSG4,0.15
EFCAB14,0.15
AGAP1,0.15
AVEN,0.15
FMN1,0.15
COPS8,0.15
DMBX1,0.15
SLC25A52,0.15
TRAPPC8,0.15
AL591893.1,0.15
DSC1,0.15
SCLY,0.15
RNF138,0.15
FAN1,0.15
POMGNT1,0.15
ARHGAP11B,0.15
GAREM,0.15
PIK3R3,0.15
DTNA,0.15
CCDC163P,0.15
GALNT1,0.15
SLC23A2,0.15
WHAMMP2,0.15
HERC2P9,0.15
GABRG3,0.15
CYP4A11,0.15
CDH2,0.15
SP110,0.15
FAF1,0.15
CHP1,0.15
ATP11AUN,0.15
INO80,0.15
SPATA3,0.15
CTAGE1,0.15
RBBP8,0.15
CASC5,0.15
PSMD1,0.15
RIOK3,0.15
C18orf8,0.15
NPC1,0.15
DISP2,0.15
HRH4,0.15
ARMT1,0.15
ALPPL2,0.15
GJD2,0.15
ALPI,0.15
RP11-240B13.2,0.15
AGBL4,0.15
SPATA6,0.15
RASGRP1,0.15
TAF4B,0.15
KCTD1,0.15
GIGYF2,0.15
FAM98B,0.15
SPRED1,0.15
MEIS2,0.15
AQP4,0.15
SAG,0.15
CMPK1,0.15
KLF7,0.15
RP11-108O10.8,0.15
FASTKD2,0.15
WIPF1,0.15
PHOSPHO2,0.15
KLHL23,0.15
CORO2B,0.15
CCDC57,0.15
PSMF1,0.15
CSNK1D,0.15
SLC44A5,0.15
TLK1,0.15
MAP2K5,0.15
DYNC1I2,0.15
ZWILCH,0.15
ITGA6,0.15
SP3,0.15
OLA1,0.15
LRRIQ3,0.15
SPESP1,0.15
KIAA1715,0.15
NEGR1,0.15
PARP16,0.15
CILP,0.15
CLPX,0.15
PDCD7,0.15
NSFL1C,0.15
SIRPB2,0.15
ANKDD1A,0.15
PTGER3,0.15
ZNF609,0.15
FN3K,0.15
HHLA3,0.15
CCDC186,0.15
PPIG,0.15
CEP83,0.15
LRRC40,0.15
FIGN,0.15
DNASE2B,0.15
SAMD13,0.15
ACVR1C,0.15
CCDC148,0.15
PRKACB,0.15
BBS4,0.15
TTLL7,0.15
ITGB6,0.15
TMEM202,0.15
SENP8,0.15
SLC4A10,0.15
IFI44,0.15
IFIH1,0.15
GCA,0.15
GRB14,0.15
PAQR5,0.15
DNAJB4,0.15
COBLL1,0.15
ZNF155,0.15
UACA,0.15
GALNT3,0.15
ZZZ3,0.15
STK39,0.15
PIGK,0.15
CERS6,0.15
ZNF404,0.15
NOSTRIN,0.15
KIF23,0.15
G6PC2,0.15
ABCB11,0.15
ANKRD13C,0.15
LRRC7,0.15
ADAM23,0.15
PIGB,0.15
RAVER2,0.15
EMILIN2,0.15
STK17B,0.15
GTF3C3,0.15
MYZAP,0.15
ZNF343,0.15
TCF12,0.15
RFTN2,0.15
MNS1,0.15
USP1,0.15
SPATS2L,0.15
PYGO1,0.15
C1orf140,0.15
TMC2,0.15
MYL12B,0.15
AQP9,0.15
ALS2CR12,0.15
NOP56,0.15
TMEM237,0.15
MPP4,0.15
CDK15,0.15
ONECUT1,0.15
NFIA,0.15
BMPR2,0.15
CARF,0.15
DLGAP1,0.15
FGGY,0.15
LYSMD2,0.15
SCG3,0.15
GPR1,0.15
YES1,0.15
SDPR,0.15
CCDC185,0.15
CALCRL,0.15
PPIB,0.15
PDE11A,0.15
RBM45,0.15
KIAA1614,0.15
FKBP7,0.15
PLEKHA3,0.15
ZNF385B,0.15
COLEC12,0.15
CA12,0.15
NUP35,0.15
MIER1,0.15
CETN1,0.15
SIRPA,0.15
ZSWIM2,0.15
TFPI,0.15
LIPC,0.15
GULP1,0.15
RORA,0.15
TCTEX1D1,0.15
STK35,0.15
TGM3,0.15
ASNSD1,0.15
ANKAR,0.15
MYO1E,0.15
SGIP1,0.15
SLTM,0.15
DNAJC6,0.15
GLS,0.15
STAT1,0.15
STAT4,0.15
OTULIN,0.15
RP11-457I16.2,0.15
PHGDH,0.15
SIGLEC8,0.15
VANGL2,0.15
LBR,0.15
WDR26,0.15
CD84,0.15
NVL,0.15
SLAMF1,0.15
MYO1C,0.15
OR2L13,0.15
LY9,0.15
CD244,0.15
TP53BP2,0.15
PRPF8,0.15
PPFIA3,0.15
TLR5,0.15
SIGLEC12,0.15
SIGLEC6,0.15
GEMIN4,0.15
ZNF175,0.15
LRRC37B,0.15
RHBDL3,0.15
PARP1,0.15
CDK5R1,0.15
PSEN2,0.15
PIGM,0.15
ANKRD11,0.15
CDH15,0.15
ZNF615,0.15
UNC45B,0.15
ZNF614,0.15
SLFN11,0.15
SLFN12,0.15
ITLN2,0.15
DISP1,0.15
WDR81,0.15
ADAMTS4,0.15
PHF12,0.15
PIPOX,0.15
ITGAE,0.15
HSPA6,0.15
TAOK1,0.15
EFCAB5,0.15
LINC01310,0.15
TMIGD1,0.15
NR1I3,0.15
CPD,0.15
SMYD2,0.15
KCNK2,0.15
OR1D2,0.15
RAP1GAP2,0.15
PAFAH1B1,0.15
RNF135,0.15
TGFB2,0.15
UFC1,0.15
EPRS,0.15
TRPM4,0.15
NIT1,0.15
SGSM2,0.15
MARK1,0.15
2-Mar,0.15
MCEMP1,0.15
SRR,0.15
ARHGAP30,0.15
HHIPL2,0.15
RPA1,0.15
MIA3,0.15
PEX12,0.15
ZCCHC14,0.15
IFI16,0.15
FCRL5,0.15
KMO,0.15
KIRREL,0.15
CHML,0.15
CENPN,0.15
PLD5,0.15
CEP170,0.15
AKT3,0.15
FCRL2,0.15
MAF,0.15
ZNF808,0.15
C1orf101,0.15
FCRL3,0.15
DESI2,0.15
COX20,0.15
CNST,0.15
ZNF578,0.15
ZNF670,0.15
C17orf78,0.15
ADAT1,0.15
GPR179,0.15
ARHGAP23,0.15
BCAR1,0.15
GCSAML,0.15
TULP2,0.15
OR2G3,0.15
BCAN,0.15
OR14K1,0.15
CTD-2206N4.2,0.15
PLXDC1,0.15
MEF2D,0.15
CD1A,0.15
CD1B,0.15
NUP133,0.15
TSNAX,0.15
ABCB10,0.15
TAF5L,0.15
PPP2R1A,0.15
FOXL1,0.15
PYHIN1,0.15
ZNF480,0.15
ZNF610,0.15
IRF8,0.15
FAM92B,0.15
C1orf131,0.15
KIAA0513,0.15
SPRTN,0.15
MNDA,0.15
GAS2L2,0.15
DISC1,0.15
CD1E,0.15
AC015849.16,0.15
SPTA1,0.15
SLC35F3,0.15
OR10X1,0.15
TAF1C,0.15
DNAAF1,0.15
TBC1D3B,0.15
B3GALNT2,0.15
GYS1,0.15
NID1,0.15
ERO1LB,0.15
CDH13,0.15
MYO19,0.15
MTR,0.15
INTS7,0.15
NEK2,0.15
FCRLA,0.15
FASLG,0.15
FAM83G,0.15
KLHL20,0.15
ANKRD45,0.15
MYH3,0.15
MYH2,0.15
ZNF281,0.15
DDX59,0.15
GAS7,0.15
GLP2R,0.15
ZNF473,0.15
TNFSF18,0.15
PKP1,0.15
TNNT2,0.15
DHRS7C,0.15
TNNI1,0.15
CFHR2,0.15
NAV1,0.15
PIK3R6,0.15
DNM3,0.15
SHISA4,0.15
METTL13,0.15
EPN2,0.15
SPDYE4,0.15
MAPK7,0.15
SIGLEC16,0.15
CCDC42,0.15
MYH10,0.15
FMO3,0.15
PTPN7,0.15
KDM5B,0.15
CFHR5,0.15
CFHR1,0.15
SIGLEC11,0.15
ABL2,0.15
XPR1,0.15
KRT16P2,0.15
ZNF624,0.15
CEP350,0.15
ZNF287,0.15
RNASEL,0.15
GID4,0.15
FLII,0.15
SOAT1,0.15
LAMC1,0.15
LAMC2,0.15
LRRC4B,0.15
RGL1,0.15
ZNF286A,0.15
ANGPTL1,0.15
ZBTB37,0.15
RALGPS2,0.15
SHMT1,0.15
TRMT1L,0.15
TEX35,0.15
POLD1,0.15
CDRT4,0.15
FAM106A,0.15
LINC01567,0.15
LINC01553,0.15
ELAC2,0.15
TROVE2,0.15
MAP2K4,0.15
ZNF18,0.15
CFH,0.15
ALOX12B,0.15
ALDH3A1,0.15
C17orf85,0.15
SIGLEC7,0.15
KSR1,0.15
RABEP1,0.15
USP6,0.15
NLK,0.15
ZNF232,0.15
ZFP3,0.15
PIGR,0.15
CAMTA2,0.15
GP1BA,0.15
LRRC52,0.15
MINK1,0.15
RXRG,0.15
CR1,0.15
PLXNA2,0.15
NUF2,0.15
RPAIN,0.15
RGS5,0.15
ALOX15,0.15
CD33,0.15
RGS4,0.15
LRRC74A,0.15
DIEXF,0.15
MYBBP1A,0.15
SARM1,0.15
UBE2G1,0.15
KCNH1,0.15
SPAG5,0.15
LINC01317,0.15
ZZEF1,0.15
CAMKK1,0.15
NUP88,0.15
PITPNM3,0.15
CNTROB,0.15
PPP1R15B,0.15
CHIT1,0.15
SELE,0.15
C1orf112,0.15
FMOD,0.15
CCDC144CP,0.15
LAX1,0.15
NUP62,0.15
KLK5,0.15
ZBTB4,0.15
LGALS9B,0.15
NLGN2,0.15
PLEKHA6,0.15
AP2A1,0.15
ADCY10,0.15
TMEM81,0.15
ILDR2,0.15
NEURL4,0.15
EIF5A,0.15
KLHDC8A,0.15
KCNJ12,0.15
CD247,0.15
POU2F1,0.15
ELK4,0.15
UBBP4,0.15
MAEL,0.15
CLEC10A,0.15
ALOX12,0.15
KLK12,0.15
SLC26A9,0.15
SLC13A5,0.15
RP11-252A24.2,0.15
PSMD7,0.15
USP32,0.15
FAM63A,0.15
PAPOLG,0.15
ATXN2L,0.15
ARNT,0.15
PPP1R9B,0.15
CCDC85A,0.15
ANXA9,0.15
SPOP,0.15
MED1,0.15
GS1-309P15.2,0.15
PNMAL2,0.15
TTLL6,0.15
TMC4,0.15
SEZ6L2,0.15
FSHR,0.15
REL,0.15
GOLPH3L,0.15
SULT1A1,0.15
ACSF2,0.15
ADAMTSL4,0.15
XPO1,0.15
EPN3,0.15
ABCC3,0.15
LUC7L3,0.15
ANP32E,0.15
OTUD7B,0.15
WDPCP,0.15
IGFL2,0.15
UGP2,0.15
VPS54,0.15
PELI1,0.15
CA10,0.15
PI4KB,0.15
LHCGR,0.15
STON1-GTF2A1L,0.15
RP11-156P1.3,0.15
SLC8A1,0.15
EML4,0.15
SPPL2C,0.15
MAPT,0.15
COX7A2L,0.15
ZC3H4,0.15
PRKCG,0.15
CACNG7,0.15
LRRC37A2,0.15
NPAS1,0.15
ZNF629,0.15
PPM1B,0.15
PREPL,0.15
PHKG2,0.15
FBRS,0.15
PPP1R21,0.15
FLG2,0.15
SRBD1,0.15
EPAS1,0.15
ITGB3,0.15
TBX21,0.15
VSTM1,0.15
1-Sep,0.15
SOCS5,0.15
GDPD3,0.15
HIRIP3,0.15
MTERF3,0.15
MSH6,0.15
FBXO11,0.15
FOXN2,0.15
AFTPH,0.15
TOM1L1,0.15
ZKSCAN2,0.15
FLJ40288,0.15
ITGA10,0.15
PEX11B,0.15
ERI2,0.15
FOXL2NB,0.15
RBM8A,0.15
ACSM2B,0.15
CYP26B1,0.15
LIX1L,0.15
EXOC6B,0.15
ANKRD34A,0.15
PPM1E,0.15
ACSM5,0.15
HFE2,0.15
RAB11FIP5,0.15
SMYD5,0.15
4-Sep,0.15
NBPF10,0.15
NWD2,0.15
NBPF9,0.15
EGR4,0.15
RPS6KB1,0.15
RNFT1,0.15
KNOP1,0.15
C16orf62,0.15
CCP110,0.15
TMC5,0.15
DGUOK,0.15
ITPRIPL2,0.15
DCTN1,0.15
HEATR6,0.15
RAD51C,0.15
ATP6V1B1,0.15
LCMT1,0.15
GJA5,0.15
ACTR2,0.15
CCDC61,0.15
NOG,0.15
ETAA1,0.15
RBBP6,0.15
PRKCB,0.15
NBPF15,0.15
VEZF1,0.15
GJA8,0.15
GGA2,0.15
ARHGAP25,0.15
COG7,0.15
SCNN1G,0.15
ANTXR1,0.15
EEF2K,0.15
CD160,0.15
MPO,0.15
GMCL1,0.15
VWA3A,0.15
FMO5,0.15
LILRA1,0.15
RP11-337C18.8,0.15
OTOA,0.15
C2orf42,0.15
NBPF11,0.15
PCYOX1,0.15
METTL9,0.15
LILRP2,0.15
KIR3DL3,0.15
ZP2,0.15
FMNL1,0.15
C16orf58,0.15
HNRNPLL,0.15
NBAS,0.15
VN1R4,0.15
HAS3,0.15
KRT26,0.15
TANGO6,0.15
KLF11,0.15
YY1AP1,0.15
LBHD1,0.15
ESRP2,0.15
ODC1,0.15
NOL10,0.15
KRT20,0.15
DDX28,0.15
ROCK2,0.15
GREB1,0.15
DDX1,0.15
ASAP2,0.15
HCN3,0.15
KRTAP3-3,0.15
GEN1,0.15
ZNF813,0.15
NT5C1B,0.15
WDR35,0.15
KDM7A,0.15
KDF1,0.15
PUM2,0.15
FHOD1,0.15
C2orf43,0.15
KRTAP9-4,0.15
NAE1,0.15
KRT33A,0.15
CIRH1A,0.15
VN1R2,0.15
KRT32,0.15
SH3BP5L,0.15
CDK12,0.15
OR2M5,0.15
OR2M2,0.15
HPR,0.15
OR2T33,0.15
OR2T12,0.15
HP,0.15
ZPBP2,0.15
PKD1L3,0.15
AP1G1,0.15
OR2T1,0.15
ZNF19,0.15
ZNF23,0.15
VAC14,0.15
COG4,0.15
KRT25,0.15
SLC25A44,0.15
SH3YL1,0.15
LMNA,0.15
THRA,0.15
TNS4,0.15
WWP2,0.15
SMARCE1,0.15
ZNF415,0.15
KRT24,0.15
TERF2,0.15
RPS7,0.15
COLEC11,0.15
CMPK2,0.15
RSAD2,0.15
ITSN2,0.15
KRT9,0.15
KIF18B,0.15
PHKB,0.15
LCLAT1,0.15
CAPN13,0.15
S100A12,0.15
GALNT14,0.15
C17orf53,0.15
EHD3,0.15
XDH,0.15
MIR6859-4,0.15
PAPD5,0.15
N4BP1,0.15
LONP2,0.15
TTC27,0.15
DHX34,0.15
RASGRP3,0.15
VIT,0.15
CD300LG,0.15
STRN,0.15
